id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
talk.politics.guns_54213,61,3366,48,61,1045
talk.politics.mideast_77302,58,4462,62,54,1123
rec.sport.hockey_54104,77,6238,42,44,1513
sci.med_58919,46,2566,32,40,1168
misc.forsale_76245,56,3576,36,47,1406
comp.sys.ibm.pc.hardware_60529,34,5500,39,40,2168
comp.sys.ibm.pc.hardware_60483,70,6821,56,67,2421
sci.electronics_54495,60,6608,77,86,2636
sci.electronics_52820,57,4073,37,43,1773
rec.sport.hockey_53539,66,5995,57,62,1684
sci.electronics_53514,59,4068,34,39,1270
comp.sys.ibm.pc.hardware_58924,67,6115,54,59,1521
comp.sys.ibm.pc.hardware_58927,58,6354,37,46,2383
rec.sport.hockey_53537,66,7658,46,42,1694
alt.atheism_53284,60,3568,29,38,1621
alt.atheism_53282,62,4175,48,57,1263
rec.motorcycles_104975,54,2736,31,39,933
comp.sys.ibm.pc.hardware_60794,68,7687,54,62,2369
sci.space_61555,62,6981,53,60,1625
comp.sys.ibm.pc.hardware_60415,69,11216,44,42,2258
sci.space_61080,60,4636,52,57,2140
alt.atheism_51199,56,7409,70,73,2132
alt.atheism_53303,60,5939,40,42,1290
sci.electronics_53705,75,5806,47,49,1506
rec.motorcycles_103159,76,5826,47,54,1783
rec.sport.hockey_53654,70,4788,47,52,1028
alt.atheism_53309,50,4442,42,52,1750
talk.politics.mideast_75950,50,5139,35,43,1846
misc.forsale_75965,72,3339,51,63,1729
misc.forsale_76824,52,2728,33,37,888
sci.med_58961,72,2307,43,54,867
sci.space_61312,63,4693,47,50,1097
rec.motorcycles_105122,52,4985,43,43,1532
talk.politics.guns_54452,54,3619,26,40,1159
rec.sport.hockey_54194,52,5025,34,37,1655
sci.med_59364,59,4799,57,63,1537
alt.atheism_54160,54,4709,42,49,1593
sci.med_58142,52,3915,35,44,1628
misc.forsale_74754,65,7166,59,58,1890
rec.motorcycles_103128,61,3405,38,40,1278
talk.politics.mideast_76039,58,2811,30,33,1192
rec.motorcycles_104754,53,3793,40,46,1592
talk.politics.mideast_76408,59,6476,45,59,1952
comp.sys.ibm.pc.hardware_60908,50,6522,37,39,1816
talk.politics.guns_53370,59,5048,51,53,1211
talk.politics.guns_55078,60,6468,46,55,2276
sci.electronics_54251,63,5930,68,82,1975
talk.politics.mideast_77399,53,5056,49,57,1190
talk.politics.guns_55075,63,4727,76,85,1575
rec.sport.hockey_52595,63,6438,39,39,1137
sci.space_61349,51,3135,50,57,1334
talk.politics.guns_54959,56,3181,32,41,1167
rec.motorcycles_104989,50,3702,38,41,1248
rec.motorcycles_105380,52,5093,52,64,2242
talk.politics.guns_54889,74,5241,53,64,1832
talk.politics.mideast_76105,36,2997,31,37,1280
comp.sys.ibm.pc.hardware_60967,66,7661,50,49,1754
talk.politics.guns_54885,73,3535,37,43,1128
talk.politics.guns_54887,47,3165,39,46,1393
sci.med_59525,70,2977,36,52,1298
misc.forsale_76594,46,2192,32,41,1274
misc.forsale_76592,27,2071,22,29,834
misc.forsale_76593,31,1841,28,35,728
rec.motorcycles_104520,59,3190,21,27,1411
sci.med_58814,63,4056,39,42,1122
sci.med_58816,52,4477,33,35,1976
rec.sport.hockey_54060,64,6605,45,53,2017
sci.electronics_54262,60,6937,87,99,2542
talk.politics.guns_54250,57,6224,41,52,2030
comp.sys.ibm.pc.hardware_58978,66,6072,28,29,1630
talk.politics.mideast_76212,42,4114,42,45,1275
sci.med_59144,57,3231,26,31,667
sci.med_59146,61,3346,25,32,1190
sci.med_59227,65,3176,39,51,818
sci.space_61047,49,2530,39,50,1006
sci.space_61517,65,5666,49,58,1622
sci.space_61514,70,4969,33,43,1820
talk.politics.guns_55124,61,4974,57,69,1510
sci.electronics_53984,76,4275,66,68,1106
misc.forsale_76624,58,9829,57,59,2870
sci.electronics_53665,60,5486,55,62,2175
rec.sport.hockey_53599,64,9115,70,79,2553
sci.med_58923,44,2818,25,34,920
rec.sport.hockey_54296,67,5813,44,44,1481
alt.atheism_53640,57,5078,39,48,1663
comp.sys.ibm.pc.hardware_60192,64,4666,37,44,2031
sci.med_58885,56,4623,48,54,1139
rec.motorcycles_104800,76,5357,61,71,2238
talk.politics.mideast_77353,69,8302,59,66,1880
rec.sport.hockey_53888,56,3973,32,38,1317
alt.atheism_51141,57,5233,47,55,1767
talk.politics.mideast_77290,64,7145,64,61,1595
talk.politics.mideast_75911,47,3639,36,44,1386
misc.forsale_76020,66,5897,22,19,1180
alt.atheism_53467,69,8648,74,75,2846
alt.atheism_53465,67,6172,51,57,1912
rec.motorcycles_103165,41,3044,35,39,1475
alt.atheism_53588,62,7354,42,46,1387
rec.sport.hockey_52628,59,6450,52,62,2405
rec.sport.hockey_53628,54,5741,34,34,1752
rec.motorcycles_104414,74,6713,64,79,2459
talk.politics.mideast_75967,51,3797,35,42,1230
talk.politics.guns_53336,66,2978,28,40,1085
sci.space_60162,75,4325,42,51,1298
talk.politics.guns_54426,53,5380,34,35,1460
talk.politics.mideast_76111,59,3723,31,41,2048
sci.space_61288,51,2746,22,24,648
rec.sport.hockey_54243,72,5552,47,50,1530
rec.sport.hockey_54240,63,5281,25,29,1218
sci.space_61466,58,4279,52,58,1353
sci.space_61303,51,4558,57,62,1203
comp.sys.ibm.pc.hardware_61037,53,3511,29,30,1411
sci.med_59313,59,5289,56,62,1257
sci.electronics_54169,73,7266,52,51,2452
talk.politics.mideast_76451,50,4679,66,70,1877
comp.sys.ibm.pc.hardware_60779,59,6215,42,45,1880
talk.politics.mideast_76052,56,3008,28,36,1056
comp.sys.ibm.pc.hardware_61048,66,6184,44,50,1406
sci.space_60993,66,4095,39,51,1638
comp.sys.ibm.pc.hardware_60925,67,5610,52,56,1724
comp.sys.ibm.pc.hardware_60739,74,11845,85,91,2668
comp.sys.ibm.pc.hardware_60737,65,8203,46,50,2098
talk.politics.guns_53338,66,3203,38,47,945
sci.space_61492,73,9035,80,89,2728
rec.motorcycles_104360,67,5040,61,63,1300
sci.space_60782,44,5483,48,54,1940
rec.sport.hockey_53971,74,7607,64,70,2222
rec.sport.hockey_53974,69,7735,69,77,2012
alt.atheism_54471,61,5788,58,70,2190
rec.sport.hockey_53873,72,4114,40,54,2091
misc.forsale_76006,69,5456,46,56,1667
talk.politics.guns_54753,53,2946,45,51,1021
talk.politics.guns_53332,58,4866,41,49,1228
misc.forsale_76318,52,5222,37,41,1768
rec.motorcycles_104797,59,3727,37,48,2078
misc.forsale_76098,60,6459,63,73,2481
comp.sys.ibm.pc.hardware_60497,61,4267,38,40,1614
rec.sport.hockey_54295,65,6797,51,64,1982
misc.forsale_75876,63,5096,38,41,1104
rec.sport.hockey_54291,61,3480,36,43,2357
sci.electronics_52733,62,4609,40,52,2229
rec.sport.hockey_54293,68,4496,28,38,1231
sci.electronics_53529,63,5734,45,53,1927
sci.med_59481,72,4267,27,34,1203
sci.electronics_53524,57,4889,55,58,1513
sci.electronics_53521,60,3048,34,52,1497
sci.med_59486,58,3936,51,63,1541
talk.politics.guns_54877,65,4020,67,76,2184
sci.space_61450,69,4762,36,40,975
sci.med_59075,73,3400,41,44,970
rec.motorcycles_104967,59,7072,77,92,2464
sci.med_58074,58,2161,34,44,864
rec.sport.hockey_54724,70,6625,49,51,1507
talk.politics.guns_54462,66,3955,48,48,1478
alt.atheism_53319,55,5583,47,53,1893
misc.forsale_76175,39,3646,20,21,1437
sci.space_62479,79,5187,39,47,1641
sci.med_59096,46,1839,24,31,755
rec.sport.hockey_53706,53,2934,26,24,1005
comp.sys.ibm.pc.hardware_60780,67,7584,58,63,2455
misc.forsale_75975,44,3830,27,30,1394
rec.sport.hockey_53799,62,8633,58,56,2282
alt.atheism_53226,54,5355,37,44,1746
misc.forsale_75976,72,6460,47,53,1840
alt.atheism_53221,49,5151,39,38,1698
sci.electronics_53627,73,4026,54,71,1914
sci.med_58976,62,3474,45,57,1497
rec.sport.hockey_53791,76,5813,84,81,2214
misc.forsale_74747,52,5133,23,26,1526
rec.motorcycles_103139,61,2575,32,36,928
talk.politics.mideast_76384,57,6566,46,49,1711
talk.politics.mideast_76141,62,4358,54,66,1790
rec.motorcycles_104427,57,6831,35,35,1561
alt.atheism_51279,48,3792,36,40,810
talk.politics.mideast_76382,58,8273,64,70,2365
sci.space_60813,69,7177,67,79,1831
alt.atheism_51201,53,4954,33,41,1573
sci.med_59366,55,2262,40,48,981
comp.sys.ibm.pc.hardware_60476,76,11468,94,92,2273
sci.space_60845,62,3557,41,44,1174
rec.motorcycles_104737,65,6465,70,85,2283
rec.motorcycles_104734,50,4836,53,63,2033
rec.sport.hockey_54510,58,4119,34,42,1452
rec.motorcycles_104732,54,4270,50,56,1308
rec.motorcycles_104635,41,4162,52,55,1601
comp.sys.ibm.pc.hardware_60388,82,11898,61,61,2794
talk.politics.mideast_77262,71,8337,59,60,1543
sci.space_61355,76,4481,45,47,768
comp.sys.ibm.pc.hardware_61078,66,6516,61,67,2380
comp.sys.ibm.pc.hardware_61177,78,10226,67,69,2341
sci.electronics_53513,63,6728,71,84,3619
comp.sys.ibm.pc.hardware_61072,70,9607,101,104,2812
talk.politics.mideast_76065,66,6040,39,48,1559
talk.politics.mideast_76062,70,9733,78,79,2014
comp.sys.ibm.pc.hardware_60919,71,6753,36,42,1890
comp.sys.ibm.pc.hardware_60914,57,7210,70,77,2233
sci.space_60211,63,5237,60,68,2367
talk.politics.mideast_75996,49,2975,29,33,940
sci.med_59124,66,3036,31,40,735
talk.politics.mideast_77210,60,4928,42,51,1353
talk.politics.guns_54301,54,2787,62,60,1155
misc.forsale_76585,48,7075,60,60,1540
rec.sport.hockey_54766,83,6442,49,54,1889
misc.forsale_76581,47,1875,28,29,968
sci.med_59281,63,2494,20,19,325
rec.sport.hockey_54013,63,7110,71,72,2341
sci.space_60178,77,4731,36,38,752
sci.electronics_54271,64,4406,46,54,1436
sci.electronics_54277,69,3117,36,48,1513
sci.electronics_54274,62,5326,54,58,1864
misc.forsale_76302,67,3614,38,49,1413
sci.electronics_53588,69,5112,54,62,1579
sci.space_61075,66,2934,52,61,1114
sci.electronics_53580,64,9223,58,62,2524
misc.forsale_76220,34,2147,21,26,977
misc.forsale_76103,70,6217,70,77,1508
talk.politics.guns_54542,72,6017,75,80,2307
alt.atheism_53218,52,5033,52,65,2226
sci.electronics_53991,70,5692,56,61,1518
sci.electronics_53610,75,6336,67,77,2410
sci.electronics_52774,69,5389,39,44,2269
rec.sport.hockey_53800,64,2777,37,39,1195
talk.politics.mideast_77324,75,8447,75,74,1669
talk.politics.mideast_77321,62,4391,38,39,1046
rec.sport.hockey_53895,66,8095,71,72,1630
sci.med_59047,54,2318,27,34,1117
misc.forsale_76128,47,9009,40,47,1718
misc.forsale_76648,40,3152,26,30,1160
misc.forsale_76120,62,2371,23,34,1079
misc.forsale_75996,44,5870,41,43,1326
rec.sport.hockey_53737,68,6185,57,67,2304
rec.sport.hockey_53734,61,10615,66,67,2196
rec.sport.hockey_53735,66,6512,74,71,1652
alt.atheism_53455,62,6031,48,55,2239
alt.atheism_53454,49,4421,35,46,1625
alt.atheism_53329,61,5914,47,55,1816
alt.atheism_51230,55,4187,36,41,1348
alt.atheism_51233,59,3843,22,26,994
sci.electronics_53752,70,5101,41,43,1435
rec.sport.hockey_53745,72,5397,51,50,1338
talk.politics.mideast_75977,54,4668,51,65,1778
sci.space_61178,73,5206,43,55,1744
rec.motorcycles_105104,73,7602,46,56,1536
alt.atheism_54262,46,2543,16,18,887
sci.space_61171,42,2552,29,34,697
rec.sport.hockey_52639,52,7032,77,65,1503
sci.space_60224,62,3339,32,42,980
alt.atheism_53522,44,6025,35,39,2097
alt.atheism_53130,48,5124,40,44,1737
talk.politics.mideast_76569,51,5731,80,86,2281
rec.sport.hockey_52643,66,8736,54,54,1614
sci.space_61259,46,3264,28,28,697
sci.electronics_54159,62,5143,65,75,2029
comp.sys.ibm.pc.hardware_61021,67,11373,56,59,2246
rec.motorcycles_104672,54,4391,43,50,1550
rec.motorcycles_104778,63,5969,57,64,1782
sci.electronics_54150,68,4694,34,51,1337
sci.space_60983,80,4275,23,27,1476
talk.politics.mideast_76106,48,4854,42,47,1851
talk.politics.guns_55468,73,4409,51,54,1308
sci.med_58116,43,3211,44,52,1007
talk.politics.guns_55107,50,2931,40,54,1353
talk.politics.guns_55081,57,4042,47,55,1558
misc.forsale_74737,53,6902,46,50,2274
sci.med_58848,52,2760,31,32,691
rec.motorcycles_104356,58,3561,30,40,1741
sci.med_58842,72,3451,41,52,1222
comp.sys.ibm.pc.hardware_61094,64,4867,38,53,2226
rec.motorcycles_105203,46,4110,37,43,1963
misc.forsale_76019,51,4090,35,42,1579
rec.motorcycles_104596,57,5626,56,66,2148
talk.politics.mideast_77256,55,5276,58,52,1383
talk.politics.mideast_77252,59,4794,45,46,824
rec.sport.hockey_53969,70,4549,50,59,1628
misc.forsale_76010,49,2638,34,44,1121
comp.sys.ibm.pc.hardware_61149,59,13352,83,71,2729
talk.politics.guns_54908,68,3195,26,37,770
sci.electronics_53737,57,3687,43,55,1499
talk.politics.guns_54906,58,4864,76,79,1249
comp.sys.ibm.pc.hardware_60263,61,4626,42,50,1530
talk.politics.mideast_76250,55,5896,56,70,2195
talk.politics.guns_54374,54,3879,30,39,1584
talk.politics.mideast_76255,43,5504,30,36,1480
sci.med_59018,53,3130,34,43,1114
misc.forsale_76268,71,5076,33,46,1474
sci.electronics_54202,60,3480,29,36,1561
talk.politics.guns_54584,62,4074,54,63,1212
sci.electronics_54334,70,5950,62,72,2321
sci.electronics_53828,77,5521,60,67,1607
misc.forsale_76461,57,4064,26,29,1184
sci.electronics_53827,62,3291,29,32,1468
talk.politics.guns_54177,37,2023,20,25,1071
misc.forsale_76783,49,2217,20,27,1108
talk.politics.guns_53326,71,4692,53,55,1623
alt.atheism_53132,58,6229,75,87,2252
sci.electronics_54338,50,4004,39,53,1698
rec.motorcycles_104694,48,4095,56,64,1446
rec.motorcycles_104699,54,3492,39,55,1810
sci.med_58066,63,1861,20,34,1058
sci.space_61103,62,6158,72,83,2506
sci.space_61107,62,2986,24,30,956
talk.politics.mideast_77179,53,5426,42,47,1949
sci.med_59336,61,4577,45,53,1635
talk.politics.guns_54472,67,3917,57,68,1516
talk.politics.mideast_76085,71,4323,35,39,1103
misc.forsale_75863,49,3246,21,23,1065
misc.forsale_75864,55,2438,37,41,837
alt.atheism_53784,59,6642,53,55,1789
sci.electronics_53796,59,9881,47,50,2164
rec.sport.hockey_53783,62,3423,25,33,1153
comp.sys.ibm.pc.hardware_60582,64,9576,46,55,1941
sci.electronics_53793,68,4743,44,48,1338
alt.atheism_51284,68,4054,33,39,1227
sci.med_59425,54,5366,39,42,1294
sci.electronics_53798,60,5540,64,68,1655
alt.atheism_54220,54,4279,36,46,1659
talk.politics.mideast_77376,55,6186,56,59,1658
rec.motorcycles_104829,68,4583,57,73,1741
talk.politics.guns_55270,51,4174,43,56,1584
comp.sys.ibm.pc.hardware_60687,69,9449,75,71,2684
sci.space_61218,70,4877,38,50,2003
alt.atheism_53406,52,7479,60,75,3124
sci.space_61197,75,7915,101,105,1863
sci.space_60827,59,3794,49,61,1653
rec.motorcycles_104432,45,1543,16,22,821
sci.space_61192,58,3832,69,82,1688
sci.space_60822,78,4995,43,51,1267
rec.sport.hockey_53609,71,7495,80,87,2555
sci.space_61343,63,6973,88,100,2495
talk.politics.guns_54402,53,4053,42,43,1351
comp.sys.ibm.pc.hardware_60443,70,8644,76,84,2915
talk.politics.guns_54155,61,2986,40,43,748
rec.motorcycles_104482,56,3927,39,45,1272
rec.motorcycles_105564,55,2745,26,36,1112
talk.politics.guns_54236,47,1494,30,33,462
sci.space_61441,69,6382,53,56,1318
rec.motorcycles_104640,63,2080,23,28,776
sci.electronics_54185,87,4915,51,69,1854
comp.sys.ibm.pc.hardware_61069,59,3721,47,53,1570
comp.sys.ibm.pc.hardware_61064,72,12784,105,97,2952
sci.med_58128,52,3454,34,47,1526
rec.motorcycles_104652,51,5036,60,68,2184
talk.politics.mideast_76215,56,5181,30,38,1409
rec.sport.hockey_54778,67,6605,68,77,2227
sci.med_58057,51,3000,29,40,1020
sci.med_59119,75,6088,47,53,1662
sci.med_59294,61,3688,60,67,1427
misc.forsale_76026,56,10132,96,108,2924
alt.atheism_53068,56,4378,39,41,1485
comp.sys.ibm.pc.hardware_60220,68,10127,71,71,2650
sci.med_58835,57,1809,18,23,691
rec.sport.hockey_54008,66,4407,34,41,1477
rec.motorcycles_103211,44,2094,19,27,935
misc.forsale_76028,39,2393,24,27,898
misc.forsale_76029,55,2677,20,25,636
comp.sys.ibm.pc.hardware_60837,70,9640,51,56,2148
talk.politics.mideast_76287,55,5169,46,57,2396
talk.politics.guns_54837,51,3032,19,26,926
sci.space_61037,56,3962,49,54,968
sci.med_59200,59,2165,25,29,628
comp.sys.ibm.pc.hardware_60532,47,3805,38,43,1738
sci.med_59471,70,4221,45,51,1215
alt.atheism_53198,68,6795,35,39,2479
rec.motorcycles_104821,58,5761,60,65,2151
misc.forsale_76489,48,4175,30,33,1177
talk.politics.guns_54200,51,2291,24,32,1344
misc.forsale_76335,42,3034,28,32,1302
sci.space_60898,60,5939,58,64,1878
sci.electronics_53608,67,3651,50,64,1436
comp.sys.ibm.pc.hardware_61057,64,5118,40,48,1482
misc.forsale_75852,59,6430,72,80,1554
sci.electronics_53912,57,5967,40,51,2412
sci.electronics_53910,60,5610,60,64,1835
sci.electronics_54248,68,6580,46,51,1376
rec.motorcycles_105069,67,6095,56,58,1660
alt.atheism_53297,60,4320,21,23,971
talk.politics.guns_54633,74,5143,55,65,1557
sci.med_59053,53,1976,40,49,641
rec.motorcycles_104949,60,4825,44,56,1846
talk.politics.mideast_76439,63,6544,42,50,1866
comp.sys.ibm.pc.hardware_60408,56,6662,76,77,1810
talk.politics.guns_53311,43,4482,50,50,1324
alt.atheism_51186,58,9085,54,54,1959
alt.atheism_51184,53,5807,43,49,1983
alt.atheism_53337,59,5999,47,55,1669
sci.space_61549,57,3443,24,28,1013
sci.space_61098,65,3795,28,40,967
alt.atheism_53635,32,4656,36,36,1748
rec.motorcycles_105112,54,6695,46,51,1584
talk.politics.mideast_76433,58,5514,63,74,1757
alt.atheism_54172,56,6321,55,61,2207
sci.electronics_52831,68,10037,94,101,2587
sci.space_61488,52,5753,50,46,1414
comp.sys.ibm.pc.hardware_61010,69,5693,56,68,2392
talk.politics.mideast_76004,51,3789,51,60,1019
comp.sys.ibm.pc.hardware_60688,55,6889,83,96,2736
sci.space_61240,50,4218,55,66,1737
talk.politics.guns_55426,60,7604,59,65,2188
sci.space_60973,69,5901,48,56,2042
sci.space_60978,56,5095,61,67,1371
comp.sys.ibm.pc.hardware_60719,57,7433,25,26,2054
comp.sys.ibm.pc.hardware_61087,52,3708,41,41,1181
misc.forsale_74814,63,4959,40,48,2344
talk.politics.mideast_76098,93,8611,71,82,1655
talk.politics.mideast_76482,52,4830,43,49,1139
rec.motorcycles_105237,53,5263,43,50,1866
rec.sport.hockey_52580,66,7519,42,39,1581
sci.electronics_53833,76,4609,43,49,1212
talk.politics.guns_54749,30,1533,11,22,783
talk.politics.mideast_77231,52,4493,44,48,1814
misc.forsale_76577,60,4119,32,35,1371
talk.politics.mideast_77241,68,5204,43,46,1316
sci.electronics_54020,70,5564,68,79,2038
sci.space_60886,43,2184,23,29,870
talk.politics.guns_54252,61,5050,42,52,2140
sci.med_59023,58,2205,39,47,1234
sci.med_59532,57,2295,21,28,1033
sci.med_59026,62,3174,43,47,1044
talk.politics.guns_54366,62,4268,64,75,2071
rec.sport.hockey_54071,73,4102,60,64,1884
rec.sport.hockey_54748,48,3332,33,41,1459
rec.sport.hockey_54073,62,5312,47,54,2156
comp.sys.ibm.pc.hardware_60378,65,4904,29,37,1802
alt.atheism_53093,61,5584,46,53,2057
alt.atheism_53095,67,5778,73,83,2110
misc.forsale_76478,37,2778,25,27,840
sci.med_59157,43,2419,24,32,807
sci.med_59624,51,2554,33,37,925
rec.sport.hockey_53544,63,5100,44,55,2106
sci.electronics_53958,64,5120,52,67,1475
rec.sport.hockey_53982,55,4069,33,33,1004
talk.politics.guns_54481,54,3305,45,54,1864
sci.space_61501,78,2884,48,60,789
sci.med_59448,56,1673,22,26,578
talk.politics.mideast_76480,68,8189,55,62,2383
misc.forsale_75884,72,4932,33,38,1430
sci.electronics_53672,53,5005,36,43,1709
misc.forsale_75922,43,4393,33,36,1447
sci.electronics_53770,66,7209,50,59,2269
rec.sport.hockey_53765,61,5331,45,48,1524
sci.med_58955,59,3139,40,42,622
misc.forsale_75959,59,6879,24,29,1812
misc.forsale_75953,61,6611,68,80,2330
talk.politics.guns_54562,57,3718,28,30,825
rec.motorcycles_105231,58,3126,24,24,1082
rec.motorcycles_105155,59,2746,33,45,1269
talk.politics.guns_54643,56,5677,56,69,2441
comp.sys.ibm.pc.hardware_60697,70,9514,78,86,2549
sci.med_59630,71,5154,45,52,1179
rec.motorcycles_103118,57,3550,30,27,804
sci.space_61202,67,5202,43,47,1482
misc.forsale_74766,61,5626,64,76,2003
comp.sys.ibm.pc.hardware_60698,70,5395,43,52,1851
alt.atheism_53574,71,6490,54,57,2077
rec.motorcycles_104408,73,4308,41,49,1343
alt.atheism_53571,57,5709,55,63,1798
alt.atheism_53572,56,5040,48,50,1917
rec.motorcycles_104404,73,6698,56,59,1633
alt.atheism_53579,56,7070,49,56,1951
alt.atheism_51311,55,6479,51,52,1895
alt.atheism_53486,56,8497,68,65,2767
rec.sport.hockey_54252,62,4508,45,54,1716
misc.forsale_76295,78,8106,82,92,2294
alt.atheism_54129,61,5325,61,71,1948
sci.space_61113,58,5367,57,65,2167
talk.politics.mideast_76445,45,4197,57,68,1493
alt.atheism_53503,51,8221,60,60,1934
talk.politics.mideast_76194,69,9180,54,68,1946
talk.politics.mideast_76441,47,7058,63,68,2497
sci.electronics_53534,53,2759,35,42,865
comp.sys.ibm.pc.hardware_61128,52,7893,38,35,1573
sci.electronics_54176,64,6234,46,47,2252
comp.sys.ibm.pc.hardware_61056,65,3046,31,43,1533
rec.sport.hockey_53919,61,4615,56,59,2205
rec.motorcycles_104398,65,2696,30,36,1306
rec.motorcycles_104395,62,4324,48,51,1771
sci.electronics_54102,68,8268,94,93,2177
talk.politics.guns_55093,51,4367,68,83,1245
comp.sys.ibm.pc.hardware_60934,67,3766,39,51,1266
talk.politics.guns_54280,36,5389,26,26,1502
sci.med_58987,67,2092,51,58,830
sci.space_60795,62,4893,47,54,1927
talk.politics.guns_54735,69,6335,64,74,2122
sci.med_58828,59,3970,25,28,744
sci.med_59262,59,3097,39,46,886
talk.politics.mideast_76349,60,7882,51,58,1935
sci.space_60159,66,4734,42,46,1436
comp.sys.ibm.pc.hardware_60232,61,10146,71,79,2915
rec.sport.hockey_53864,83,4646,48,61,2217
talk.politics.guns_54281,49,4797,19,20,1185
alt.atheism_53056,50,6042,31,33,1236
rec.motorcycles_103201,65,4865,52,64,1579
rec.motorcycles_103207,61,5951,68,81,2440
misc.forsale_76038,59,4418,44,50,1248
talk.politics.mideast_76227,59,7809,51,59,1806
talk.politics.mideast_75922,60,6745,41,43,1225
sci.electronics_54075,61,3512,29,35,1475
rec.motorcycles_105243,60,4278,36,40,1384
sci.med_59211,57,1829,19,30,890
talk.politics.guns_55486,49,2870,52,61,1183
